exp,date,jobdate,metadata1,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,obj_in_frame,unique_roi,gtype
exp2,2019-04-23,2019-04-23,2,20,data/pimframes/exp2-20190423-2-20.tif,Fmp,Y7_ALon,0,18.5575,2.9634,1.6333,20.3144,0.7827,True,True,WT
exp2,2019-04-23,2019-04-23,2,20,data/pimframes/exp2-20190423-2-20.tif,Fmp,Y7_ALon,1,20.6886,6.5382,1.6651,27.2077,0.9360,True,True,kead1
exp2,2019-04-23,2019-04-23,2,20,data/pimframes/exp2-20190423-2-20.tif,Fmp,Y7_ALon,2,18.4871,3.1290,1.6526,20.4253,0.7929,True,True,gun1
exp2,2019-04-23,2019-04-23,2,20,data/pimframes/exp2-20190423-2-20.tif,Fmp,Y7_ALon,3,18.8057,3.5720,1.6329,19.4879,0.9138,True,True,triple
exp2,2019-04-23,2019-04-23,2,21,data/pimframes/exp2-20190423-2-21.tif,Fp,Y8_ALon,0,13.9825,2.8729,1.7017,20.1709,0.8699,True,True,WT
exp2,2019-04-23,2019-04-23,2,21,data/pimframes/exp2-20190423-2-21.tif,Fp,Y8_ALon,1,18.4527,5.5225,1.6320,24.6806,1.1108,True,True,kead1
exp2,2019-04-23,2019-04-23,2,21,data/pimframes/exp2-20190423-2-21.tif,Fp,Y8_ALon,2,14.0499,3.0011,1.7209,20.2710,0.8890,True,True,gun1
exp2,2019-04-23,2019-04-23,2,21,data/pimframes/exp2-20190423-2-21.tif,Fp,Y8_ALon,3,15.4025,3.1702,1.6197,18.1100,0.7787,True,True,triple
exp2,2019-04-23,2019-04-23,2,22,data/pimframes/exp2-20190423-2-22.tif,Fmp,Y8_ALon,0,18.1471,2.8729,1.7017,20.1709,0.8699,True,True,WT
exp2,2019-04-23,2019-04-23,2,22,data/pimframes/exp2-20190423-2-22.tif,Fmp,Y8_ALon,1,21.0979,5.5225,1.6320,24.6806,1.1108,True,True,kead1
